corp_code,corp_name,year,quarter,매출액,영업이익,순이익,영업현금흐름,수주잔고,수주잔고_증감
00867098,티로보틱스,2024,3Q,23415611558.0,1538826828.0,-588157218.0,1557241380.0,0.0,0.0
00867098,티로보틱스,2024,4Q,60705396702.0,-7001978684.0,-790168243.0,-4706631625.0,0.0,0.0
00867098,티로보틱스,2025,1Q,12691515284.0,292627788.0,-4726878461.0,3595452878.0,0.0,0.0
00867098,티로보틱스,2025,2Q,10951300018.0,-1025910435.0,0.0,10636121055.0,0.0,0.0
00867098,티로보틱스,2025,3Q,13119415238.0,-127845448.0,0.0,9474995033.0,0.0,0.0
00146649,일진홀딩스,2024,1Q,386074268137.0,18293627432.0,15789504575.0,-35240575156.0,4100908814.0,0.0
00146649,일진홀딩스,2024,2Q,492877225895.0,25545363072.0,0.0,40095442608.0,2902331795.0,-1198577019.0
00146649,일진홀딩스,2024,3Q,387491509527.0,11796984797.0,6187251715.0,21226479281.0,1895053900.0,-1007277895.0
00146649,일진홀딩스,2024,4Q,1800024002531.0,72521206741.0,50404281992.0,144636268000.0,9370026566.0,7474972666.0
00146649,일진홀딩스,2025,1Q,505598441135.0,32357182579.0,25146012738.0,35984143402.0,6890698237.0,-2479328329.0
00146649,일진홀딩스,2025,2Q,580010182540.0,36073631189.0,24074381609.0,111387360602.0,5870918251.0,-1019779986.0
00146649,일진홀딩스,2025,3Q,517273435733.0,32901526078.0,29556249372.0,39437373338.0,1057230492.0,-4813687759.0
00601191,하나기술,2024,1Q,32323220256.0,0.0,-2429538129.0,9439238671.0,3872799449.0,0.0
00601191,하나기술,2024,2Q,13174055108.0,0.0,1842809289.0,-5858400940.0,3547889234.0,-324910215.0
00601191,하나기술,2024,3Q,23106803068.0,0.0,-10211314198.0,-30132714759.0,2715259668.0,-832629566.0
00601191,하나기술,2024,4Q,94219106206.0,0.0,-15510537886.0,-36142502783.0,3402320626.0,687060958.0
00601191,하나기술,2025,1Q,14343560970.0,0.0,-1904519668.0,-6246803918.0,5049342873.0,1647022247.0
00601191,하나기술,2025,2Q,17236371030.0,0.0,-8485787549.0,-14013670191.0,2424715594.0,-2624627279.0
00601191,하나기술,2025,3Q,52459237910.0,0.0,4277445733.0,-11179978153.0,2153887477.0,-270828117.0
00148443,제일파마홀딩스,2024,1Q,188831479528.0,251617271.0,-1760906082.0,1285032513.0,0.0,0.0
00148443,제일파마홀딩스,2024,2Q,197027607152.0,-12434611761.0,-26592939804.0,1100856078.0,0.0,0.0
00148443,제일파마홀딩스,2024,3Q,189996784413.0,-3276628604.0,-5689923246.0,2385782989.0,0.0,0.0
00148443,제일파마홀딩스,2024,4Q,779822241410.0,-11558923268.0,-66390902625.0,4542355695.0,0.0,0.0
